L0,L1,R0,R1
398, 600, 334, 636
367, 588, 335, 588
393, 590, 367, 682
437, 682, 415, 754
405, 635, 379, 677
403, 672, 347, 623
378, 808, 343, 689
398, 748, 343, 682
379, 660, 343, 639
351, 659, 319, 570
370, 594, 323, 526
342, 549, 322, 511
370, 556, 298, 576
361, 697, 333, 734
435, 725, 337, 626
409, 657, 334, 787
361, 613, 358, 724
357, 649, 334, 634
377, 668, 311, 689
360, 639, 339, 628
381, 648, 349, 664
377, 606, 358, 600
381, 548, 330, 551
351, 548, 305, 563
339, 574, 323, 635
369, 583, 353, 585
435, 719, 353, 608
414, 661, 327, 548
378, 693, 328, 548
388, 636, 356, 597
371, 620, 335, 557
360, 557, 334, 499
348, 557, 319, 545
347, 502, 320, 528
351, 524, 296, 470
369, 531, 315, 538
361, 490, 350, 501
345, 441, 323, 447
386, 433, 303, 428
326, 476, 288, 518
335, 440, 310, 476
317, 436, 290, 473
316, 480, 309, 483
332, 502, 292, 479
340, 488, 305, 467
348, 508, 325, 475
330, 474, 305, 479
381, 518, 326, 535
364, 481, 315, 530
340, 460, 313, 544
343, 508, 552, 631
330, 512, 408, 587
364, 530, 349, 516
372, 531, 314, 459
354, 547, 303, 453
366, 800, 299, 510
348, 584, 299, 558
331, 562, 303, 599
324, 563, 308, 563
331, 516, 311, 543
346, 646, 340, 651
328, 710, 321, 703
348, 876, 334, 1075
377, 816, 366, 1003
365, 711, 348, 902
327, 629, 336, 782
348, 615, 306, 726
350, 561, 436, 645
365, 559, 339, 688
357, 683, 336, 625
352, 635, 324, 687
317, 647, 325, 673
375, 692, 323, 720
365, 732, 355, 792
334, 728, 366, 743
354, 652, 344, 652
339, 682, 313, 672
370, 670, 301, 609
375, 757, 337, 615
369, 729, 311, 672
376, 678, 295, 618
371, 607, 298, 583
351, 587, 333, 667
327, 806, 351, 836
343, 752, 327, 815
343, 806, 313, 856
350, 826, 339, 1025
380, 738, 363, 929
376, 762, 391, 905
377, 739, 419, 900
349, 690, 347, 796
345, 618, 311, 692
373, 640, 325, 780
373, 705, 321, 787
357, 645, 337, 825
331, 707, 322, 739
351, 707, 331, 758
366, 702, 315, 674
358, 636, 292, 589
342, 727, 292, 603
366, 671, 285, 542
378, 691, 329, 638
363, 787, 320, 655
362, 723, 297, 587
344, 639, 293, 717
342, 623, 320, 663
355, 683, 318, 684
340, 676, 323, 696
352, 672, 303, 768
356, 808, 338, 983
385, 739, 353, 1079
367, 653, 374, 972
375, 633, 371, 884
356, 571, 344, 763
334, 559, 309, 657
334, 607, 332, 857
345, 629, 326, 785
344, 581, 338, 761
332, 713, 318, 676
348, 672, 330, 716
355, 716, 359, 650
353, 757, 333, 640
372, 718, 324, 650
361, 912, 303, 711
397, 844, 482, 681
361, 910, 374, 727
354, 822, 324, 763
377, 817, 314, 683
364, 722, 305, 743
356, 635, 319, 677
353, 673, 316, 828
348, 672, 292, 792
343, 772, 324, 958
363, 755, 368, 1102
372, 673, 372, 996
350, 662, 372, 863
368, 641, 384, 923
348, 629, 356, 826
340, 595, 321, 814
322, 583, 323, 722
342, 530, 349, 814
345, 594, 347, 810
340, 677, 327, 741
352, 685, 341, 881
362, 658, 361, 803
353, 594, 339, 697
377, 766, 383, 611
359, 778, 309, 563
341, 751, 305, 623
347, 843, 301, 737
353, 775, 308, 773
363, 746, 322, 758
346, 650, 303, 674
322, 723, 301, 849
341, 762, 316, 787
380, 837, 363, 896
380, 821, 336, 1076
363, 724, 368, 976
356, 640, 361, 848
378, 635, 358, 903
383, 662, 350, 813
362, 601, 325, 709
358, 659, 325, 771
350, 647, 338, 695
356, 580, 359, 870
360, 719, 339, 798
348, 674, 330, 844
336, 603, 336, 852
338, 675, 332, 752
362, 643, 312, 652
365, 731, 336, 772
368, 689, 342, 766
365, 894, 335, 677
361, 849, 311, 698
357, 749, 307, 667
333, 699, 299, 657
333, 628, 334, 891
349, 832, 341, 899
356, 775, 317, 807
418, 893, 382, 1092
400, 814, 411, 1120
376, 710, 379, 987
372, 749, 423, 1154
377, 677, 391, 1036
354, 657, 362, 901
358, 752, 332, 872
346, 708, 336, 874
353, 622, 345, 794
329, 622, 361, 936
349, 673, 393, 852
340, 715, 364, 751
376, 722, 330, 650
352, 674, 322, 562
362, 596, 326, 616
347, 728, 326, 642
343, 714, 303, 602
373, 725, 307, 556
371, 699, 292, 612
353, 866, 329, 878
378, 803, 355, 822
410, 759, 335, 828
390, 769, 331, 835
357, 693, 306, 819
353, 666, 332, 775
377, 874, 361, 850
391, 814, 340, 974
359, 750, 336, 903
338, 690, 318, 1069
333, 615, 341, 963
354, 674, 353, 928
369, 646, 330, 816
340, 713, 347, 810
369, 652, 333, 787
353, 744, 329, 716
437, 829, 334, 784
417, 737, 353, 709
381, 653, 335, 682
356, 618, 304, 610
356, 608, 347, 592
358, 577, 331, 536
365, 603, 327, 556
364, 584, 328, 685
348, 743, 369, 819
347, 683, 349, 746
395, 1852, 322, 2104
781, 3646, 704, 3696
1381, 4005, 1343, 4015
2190, 4077, 2249, 4079
3154, 3681, 3185, 3593
3906, 3103, 3913, 3020
4057, 2592, 4058, 2516
4087, 2168, 4087, 2103
4093, 1815, 4090, 1751
4094, 1528, 4094, 1471
3858, 1625, 3799, 1407
4047, 1432, 4035, 1222
3830, 1556, 3770, 1446
4042, 1383, 4030, 1300
3760, 1292, 3658, 1368
4028, 1115, 3901, 1205
3692, 1475, 3401, 1141
3883, 1347, 3329, 987
3384, 1272, 2878, 1014
3074, 1106, 2437, 894
2615, 1144, 2037, 949
2191, 1010, 1864, 847
1825, 1166, 1580, 1662
2360, 1567, 2312, 1640
2132, 1860, 2125, 1925
2825, 2948, 2548, 2542
2554, 2784, 2262, 2442
2518, 3420, 2326, 2678
2182, 3036, 2028, 2520
2134, 3377, 1877, 2516
1873, 3118, 1649, 2428
1871, 3149, 1804, 2776
1731, 2830, 1718, 2548
1595, 3076, 1574, 2824
1532, 2696, 1564, 2552
1334, 3135, 1366, 2626
1419, 2780, 1370, 2281
1267, 3233, 1206, 2621
1251, 2877, 1216, 2361
1107, 3114, 1076, 2557
1143, 2742, 1075, 2236
1013, 2982, 951, 2661
1062, 2625, 1051, 2364
946, 3066, 946, 2564
1099, 2717, 1158, 2253
999, 3162, 932, 2703
1082, 3162, 1040, 2489
971, 2850, 931, 2989
865, 3846, 923, 3873
1225, 4045, 1307, 4050
2364, 4085, 2386, 4086
3077, 3699, 3202, 3664
3891, 3122, 3916, 3088
4054, 2619, 4059, 2583
4086, 2185, 4087, 2151
3856, 1827, 3817, 1796
4047, 1531, 4039, 1504
3845, 1547, 4083, 1715
4045, 1358, 4092, 1532
4085, 1388, 4094, 1526
4093, 1220, 4094, 1334
4094, 1368, 4094, 1283
4094, 1225, 3944, 1122
4012, 1269, 3798, 1302
3884, 1117, 3342, 1170
3357, 1113, 2806, 1006
3046, 975, 2386, 857
2644, 1173, 2008, 912
2184, 1075, 1809, 815
1816, 1550, 1537, 1681
2119, 1437, 1910, 1610
1884, 2740, 1719, 2414
2459, 2792, 2072, 2382
2225, 2992, 1856, 2746
2030, 2881, 1712, 2612
1724, 2660, 1460, 2876
1587, 3035, 1397, 2599
1363, 2693, 1207, 2746
1376, 2898, 1258, 2852
1260, 2546, 1166, 2564
1181, 3026, 1132, 2798
1130, 2698, 1168, 2452
986, 2954, 1036, 2651
1076, 2594, 1012, 2324
975, 3146, 889, 2964
1029, 2817, 965, 2669
910, 2881, 857, 2995
917, 2511, 931, 2644
821, 2814, 839, 2916
938, 2484, 910, 2572
863, 2905, 810, 2700
959, 2769, 902, 2356
861, 2841, 810, 2737
969, 2794, 930, 2633
876, 3831, 854, 3802
1152, 4042, 1065, 4036
1289, 4084, 1278, 4083
2436, 4092, 2429, 4085
3082, 3562, 3237, 3517
3892, 2987, 3923, 2937
4054, 2497, 4060, 2449
4086, 2083, 4088, 2044
3998, 1749, 4093, 1707
4075, 1472, 4094, 1433
4091, 1516, 4094, 1401
4094, 1335, 4094, 1229
4094, 1331, 4094, 1317
4094, 1169, 4094, 1164
4094, 1405, 4094, 1226
4094, 1261, 4025, 1083
4094, 1242, 3992, 1243
3945, 1092, 3444, 1233
3685, 1206, 2868, 1228
3171, 1074, 2412, 1069
2657, 1089, 2018, 1011
2207, 961, 1850, 879
1853, 1789, 1582, 1519
1685, 1696, 1682, 1424
1448, 3136, 1480, 2786
1964, 2948, 1936, 2631
1792, 3384, 1761, 3167
2014, 3003, 1959, 2819
1780, 3494, 1737, 3287
1757, 3470, 1633, 2909
1538, 3152, 1405, 3088
1378, 3626, 1213, 3087
1185, 3213, 1031, 2831
1153, 3536, 1048, 3118
1009, 3108, 924, 2746
1077, 3400, 997, 3154
957, 2992, 883, 2798
876, 3433, 839, 3021
777, 3043, 791, 2652
765, 3322, 743, 3055
746, 2916, 833, 2695
668, 3412, 758, 3157
