L0,L1,R0,R1
300, 363, 258, 358
320, 366, 282, 354
308, 358, 272, 346
292, 350, 254, 347
322, 341, 281, 338
319, 352, 278, 358
305, 335, 259, 334
308, 331, 251, 342
298, 339, 285, 349
311, 359, 271, 369
289, 356, 259, 368
309, 382, 285, 399
312, 416, 294, 414
318, 412, 303, 406
310, 420, 282, 407
318, 408, 288, 404
310, 393, 281, 372
310, 362, 269, 348
292, 334, 257, 317
318, 327, 263, 326
308, 343, 270, 321
308, 359, 258, 307
308, 343, 270, 317
308, 346, 260, 317
302, 345, 273, 316
311, 361, 261, 335
338, 397, 276, 375
335, 402, 290, 385
312, 377, 295, 409
299, 365, 284, 461
332, 395, 328, 465
322, 411, 316, 489
314, 438, 321, 498
350, 430, 336, 482
339, 418, 317, 511
339, 452, 335, 564
341, 510, 349, 588
377, 518, 361, 608
354, 510, 352, 626
371, 486, 360, 655
354, 512, 373, 700
360, 523, 371, 718
347, 533, 362, 716
375, 502, 405, 672
356, 527, 373, 658
365, 551, 364, 638
380, 544, 343, 610
374, 540, 347, 614
366, 574, 354, 642
398, 594, 386, 660
394, 582, 369, 647
390, 559, 360, 649
365, 526, 339, 680
364, 526, 389, 673
339, 472, 381, 668
337, 447, 366, 647
357, 457, 381, 609
351, 513, 349, 613
359, 547, 349, 614
387, 539, 354, 610
382, 554, 354, 625
373, 561, 359, 626
397, 551, 342, 614
367, 509, 326, 546
346, 464, 301, 490
337, 411, 330, 489
322, 414, 318, 500
305, 412, 314, 484
338, 400, 335, 442
326, 396, 315, 402
330, 398, 302, 387
528, 410, 296, 412
365, 400, 291, 416
327, 422, 280, 384
322, 423, 286, 479
345, 452, 346, 563
357, 490, 349, 665
381, 526, 399, 741
384, 536, 378, 772
380, 562, 410, 773
352, 530, 414, 765
356, 569, 386, 754
359, 563, 412, 723
370, 547, 380, 681
358, 500, 376, 669
333, 476, 373, 598
328, 468, 344, 549
360, 499, 316, 493
363, 515, 309, 464
348, 511, 307, 498
