L0,L1,R0,R1
308, 324, 273, 310
301, 309, 266, 318
3798, 2291, 3813, 1555
4035, 2398, 4038, 1683
3741, 2149, 3662, 1484
4024, 1826, 4008, 1260
4080, 1546, 4077, 1124
4004, 1311, 4079, 964
3438, 1115, 3521, 990
3516, 949, 3478, 945
3053, 1047, 2994, 828
2558, 954, 2510, 787
2136, 1364, 2089, 1070
1944, 1521, 2064, 1248
3212, 1347, 3609, 1123
3539, 1209, 3677, 1021
3983, 1113, 4011, 880
4025, 1129, 4055, 760
3489, 1193, 3507, 720
2920, 1068, 2940, 876
2438, 1235, 2446, 998
2032, 1473, 2034, 1376
2536, 1324, 2798, 1259
2428, 1479, 2552, 1423
2976, 1930, 3177, 1679
3599, 1759, 3911, 1495
3387, 1767, 3587, 1554
3025, 1811, 3153, 1558
2562, 1586, 2650, 1361
2154, 1833, 2464, 1600
1817, 1641, 2100, 1558
1525, 1401, 2220, 1360
1672, 1473, 2357, 1500
2103, 1299, 2600, 1470
1891, 1119, 2300, 1278
2091, 1171, 2588, 1393
2331, 1035, 2764, 1234
2061, 1050, 2419, 1228
1875, 1138, 2250, 1166
2144, 1024, 2646, 1012
1908, 1220, 2348, 1108
1994, 1125, 2355, 988
2400, 977, 2869, 857
2160, 1018, 2564, 987
2009, 918, 2455, 987
2236, 794, 2730, 871
1979, 854, 2408, 915
2035, 1206, 2321, 1216
2121, 1901, 2526, 1944
2078, 1774, 2366, 1809
1798, 1521, 2019, 1553
1522, 1299, 1699, 1318
1506, 1107, 1499, 1110
1355, 942, 1372, 944
1165, 810, 1204, 812
1159, 702, 1232, 695
1207, 665, 1089, 601
1071, 697, 934, 555
936, 659, 908, 571
886, 665, 913, 523
774, 702, 810, 570
676, 710, 714, 626
615, 659, 647, 576
567, 659, 564, 528
507, 601, 542, 532
451, 610, 525, 480
409, 555, 470, 512
374, 517, 418, 528
347, 583, 416, 482
363, 575, 380, 477
424, 523, 344, 473
408, 545, 333, 497
407, 612, 313, 460
440, 646, 285, 469
424, 637, 300, 479
405, 586, 370, 438
376, 536, 362, 484
372, 508, 374, 468
382, 585, 350, 512
443, 536, 377, 500
496, 533, 354, 453
474, 497, 375, 476
467, 449, 435, 456
435, 437, 410, 468
421, 464, 393, 547
450, 503, 423, 620
506, 500, 399, 576
474, 556, 397, 585
457, 589, 385, 629
436, 634, 356, 615
428, 614, 388, 549
416, 578, 375, 608
389, 598, 343, 578
409, 562, 327, 583
374, 510, 357, 557
383, 488, 333, 496
413, 484, 305, 476
377, 447, 309, 458
353, 430, 289, 417
354, 421, 269, 421
329, 396, 273, 418
322, 493, 296, 487
378, 475, 283, 520
368, 487, 286, 525
358, 497, 291, 533
333, 492, 290, 524
366, 511, 276, 547
366, 551, 328, 545
362, 539, 440, 487
392, 515, 426, 520
372, 502, 395, 508
360, 467, 360, 601
380, 515, 347, 627
380, 3379, 463, 3401
1536, 3951, 1361, 3956
1524, 4066, 1345, 4067
2291, 4012, 2271, 3911
3734, 3692, 3730, 3575
3478, 3945, 3914, 3811
2961, 3448, 3401, 3331
2475, 2895, 2853, 2795
3065, 2421, 3253, 2329
3889, 2027, 3926, 1946
4053, 1707, 4061, 1794
4086, 1859, 4088, 1920
3978, 1890, 3803, 2029
4057, 1684, 4036, 1780
3633, 1735, 3898, 1834
4002, 1603, 4055, 1812
4076, 1577, 4087, 1748
4091, 1385, 4093, 1515
4094, 1173, 4094, 1283
4094, 1046, 4094, 1269
4094, 909, 4094, 1117
3644, 1211, 3661, 1165
4004, 1115, 4008, 1089
3582, 1474, 3540, 1728
3992, 1343, 3984, 1605
4074, 1162, 4072, 1384
4039, 1282, 4089, 1256
4083, 1340, 3856, 1081
3552, 1792, 3280, 1677
2977, 1625, 2738, 1559
2483, 1924, 2278, 1467
3311, 1725, 3678, 1262
2995, 1467, 3395, 1332
3707, 1250, 3955, 1171
3543, 1170, 3915, 1033
3491, 1072, 3647, 1123
3001, 1175, 3107, 1376
2526, 1120, 2586, 1291
2111, 989, 2152, 1112
1957, 1178, 2220, 1175
3041, 1069, 3332, 1043
3041, 1075, 3292, 1115
3656, 963, 3746, 995
3268, 1144, 3310, 1006
2896, 1040, 3127, 981
2546, 925, 2769, 866
2155, 1433, 2333, 798
1804, 1392, 1974, 830
2383, 1216, 2502, 926
2166, 1334, 2262, 933
2653, 1191, 2678, 1153
3405, 1052, 3349, 1046
3073, 1221, 2995, 1107
2907, 1173, 2734, 1079
2967, 1021, 2813, 1091
2583, 1008, 2449, 1047
2445, 1016, 2414, 1093
2962, 933, 3012, 1005
2650, 1093, 2700, 1051
2703, 996, 2716, 932
2891, 868, 3053, 805
2687, 1042, 2789, 739
2472, 956, 2520, 659
2106, 909, 2300, 576
2098, 904, 2155, 648
2034, 797, 1973, 659
1759, 793, 1690, 818
1667, 3434, 1720, 3439
2536, 3962, 2535, 3963
2952, 4068, 3547, 4068
2895, 3780, 3424, 3717
3332, 3440, 3946, 3288
2938, 3786, 3486, 3720
2488, 3332, 2936, 3286
3773, 2938, 3863, 2769
3940, 2364, 3953, 2313
4064, 1967, 4066, 1923
4088, 1653, 4018, 1696
4093, 1845, 4079, 1896
4094, 2105, 4091, 2044
3915, 1908, 3953, 1797
4059, 1720, 4066, 1519
4086, 1613, 4010, 1541
4093, 1390, 4078, 1345
4094, 1462, 4091, 1412
4094, 1286, 4094, 1247
3801, 1753, 3769, 1509
4036, 1601, 4029, 1361
3710, 1544, 3985, 1384
4018, 1648, 4073, 1389
4079, 1453, 4090, 1219
4091, 1873, 4094, 1664
4094, 1705, 4094, 1530
4094, 1458, 4094, 1389
3822, 1239, 3835, 1230
3270, 1252, 3267, 1054
3115, 1111, 2895, 939
2695, 1338, 2440, 1391
2305, 1218, 2187, 1283
1941, 1382, 1860, 1110
1626, 1542, 1555, 1235
1378, 1369, 1311, 1107
1156, 1181, 1110, 958
991, 1361, 1282, 1148
1827, 1225, 2015, 1369
2547, 1300, 2723, 1236
2876, 1678, 2783, 1256
3851, 1535, 3635, 1104
3505, 1362, 3275, 1228
3872, 1176, 3406, 1101
3404, 1149, 2956, 1534
3780, 1008, 3538, 1440
3569, 1825, 3740, 1622
3627, 1726, 3459, 1573
3771, 1497, 3662, 1368
3289, 1444, 3188, 1632
3407, 1258, 2873, 1465
2959, 1258, 2433, 1489
2816, 1586, 2489, 1302
2657, 1561, 2696, 1114
2513, 1372, 2465, 1244
2913, 1172, 2681, 1106
2592, 1180, 2357, 1123
2390, 1044, 2292, 989
2103, 1253, 2229, 957
2189, 1297, 2247, 1081
2608, 1137, 2659, 973
2333, 988, 2367, 841
2261, 849, 2338, 722
1955, 835, 2025, 770
2065, 860, 2093, 698
2105, 773, 2092, 703
1897, 689, 1813, 631
1905, 2277, 1682, 2349
1665, 3731, 1437, 3745
2193, 4022, 2172, 4025
3045, 4034, 3300, 3950
3885, 3594, 3936, 3731
3901, 3876, 4063, 4021
3381, 3384, 3683, 3512
2837, 3010, 3105, 2946
3843, 2543, 3897, 2458
3833, 2180, 3745, 2129
4042, 1852, 4025, 1793
4084, 1630, 4081, 1649
4092, 2078, 4092, 2216
4094, 2215, 4094, 2271
4002, 2215, 4048, 1969
4076, 1914, 4085, 1775
3966, 1625, 3789, 1667
4069, 1380, 4033, 1432
3841, 1158, 3791, 1285
4044, 1213, 4034, 1399
4084, 1305, 4082, 1364
4092, 1461, 4092, 1625
4094, 1283, 4094, 1460
4094, 1431, 4094, 2136
4094, 1283, 4094, 1957
4094, 1107, 4091, 1840
4000, 942, 4013, 1586
3442, 1542, 3441, 2602
3602, 1448, 3758, 2414
3190, 1261, 3297, 2072
2956, 1425, 2766, 2696
3258, 1311, 2882, 2703
2890, 1929, 2504, 2922
3287, 1788, 3640, 3416
2908, 1532, 3322, 3959
2924, 1298, 2890, 4003
2547, 1754, 2433, 3468
2138, 1671, 2101, 3969
1792, 1450, 1761, 3696
