m82_L0,m82_L1,m82_L2,m82_L3,m82_L4,m82_L5,m82_L6,m82_R0,m82_R1,m82_R2,m82_R3,m82_R4,m82_R5,m82_R6
1384,1768,2208,2150,1944,2013,1504,1389,1557,1827,1880,2738,1866,1384
1773,1574,2080,1853,1657,1716,1292,1493,1425,1576,1752,2323,1606,1178
1612,1344,1808,1871,2527,2817,1656,1325,1205,1352,1508,2556,3047,1686
1384,1141,1776,1842,2519,2862,2000,1129,1024,1336,1708,2537,2860,1871
1179,1209,2348,2114,2240,3314,1858,965,1529,1411,1746,2201,2734,1811
1003,1709,2470,2250,1928,2942,2362,825,1413,1840,1960,1887,2611,2254
932,1577,2328,2386,2378,2718,2141,737,1246,1709,2413,1964,2636,2022
817,1365,2288,2671,2378,3048,1905,647,1338,1737,2163,1911,2847,1786
713,1620,2214,2363,2362,2783,1980,561,1210,1894,2123,2161,2496,1626
648,1459,2210,2171,2396,2430,1856,559,1089,1872,2137,2124,2352,1866
707,1313,2170,2218,2590,2890,1956,632,1313,1628,1855,2063,2593,1901
644,1667,2554,2581,2279,2855,1959,577,1232,1723,2414,1900,2788,1757
572,1517,2279,2884,2159,2467,1770,506,1185,1553,2183,1873,2447,1680
825,1303,1931,2552,1859,2078,1513,838,1032,1325,1857,1632,2065,1455
777,1113,1629,2167,2132,2479,2353,799,883,1512,1941,2195,2373,2167
689,1477,2008,2396,2197,2643,2189,708,1238,1895,1981,2153,2102,1998
701,1523,2069,2252,2884,2869,2184,727,1173,1706,1872,2665,2559,2046
633,2208,2117,2461,2663,3017,2124,651,1774,1946,1678,3149,2751,2096
562,2562,2676,2344,2742,2640,2306,572,1990,2166,2185,2786,2411,2065
573,2287,2436,2018,2401,2747,2530,553,1750,2152,2237,2362,2595,2084
523,2200,2112,2204,2237,2568,2330,498,1706,2288,1969,2197,2409,1908
647,2168,2092,2446,2165,2576,2158,625,1723,2011,1959,2181,2801,1705
612,2004,2237,2295,2109,2575,2154,578,1578,2000,1885,2033,2657,1827
548,1722,2548,2799,2721,2843,2409,513,1377,2008,2188,2477,2656,1899
624,1946,2256,2506,2460,2540,2458,608,1718,1962,2462,2571,2816,2768
574,2022,1918,2291,3231,3784,3767,560,1776,1702,2465,3004,3839,3829
519,1779,3659,3094,3616,4032,3876,513,1736,3459,3049,3748,4043,3577
755,3631,3466,2818,3194,3629,3370,747,3623,3266,2740,3357,3865,3058
1201,4002,2958,2393,2691,3073,2830,1143,4000,2798,2315,2887,3313,2543
1201,4076,2483,2009,2250,2639,2526,1134,4076,2339,1938,2379,2767,2123
1961,3897,2079,1691,1885,2224,2235,1933,3871,1954,1628,1973,2312,1816
3668,3337,1746,1423,1584,2261,1898,3654,3307,1634,1361,1653,1922,1757
3520,2791,1469,1206,1400,2051,2174,3430,2767,1372,1156,1393,1958,2045
3980,2333,1247,1030,1348,2031,1940,3962,2299,1329,987,1446,2040,1827
4072,1954,1055,883,1316,2039,1656,4068,1925,1019,837,1270,1918,1559
4090,1642,942,1102,1528,2036,1635,4089,1610,976,809,1329,2096,1625
4094,1386,1005,1009,1372,1773,1424,4093,1354,850,737,1366,1856,1428
4094,1606,1135,1377,1901,1577,1424,4094,1410,877,1117,2114,1570,1504
4094,1442,1108,1321,1925,2121,1659,4039,1244,1150,1285,1951,1989,1331
3631,1240,1035,1686,2119,1988,1610,3473,1147,1054,1987,1919,2129,1632
3403,1224,1145,1706,1872,2428,1640,2937,1101,1249,1841,1714,2113,1473
2899,1990,1252,2050,1628,2423,1588,2446,1752,1137,1601,1959,2093,1621
2429,1862,1119,1829,1720,2387,1907,2041,1640,1103,1757,1776,2164,1793
2033,1901,1475,2149,1717,2485,1914,1700,1496,1424,1847,1986,2238,1598
1705,1890,1447,1924,2297,2276,1778,1427,1664,1320,1645,2617,2274,2101
1429,1857,1654,2204,2959,2228,2206,1205,1836,1800,2013,2639,2550,2230
1511,1676,1480,2175,2859,2245,1986,1381,1630,1642,1806,3164,2259,1950
1335,1921,1400,1971,2462,1956,1752,1236,1854,1403,1687,2823,1912,1711
1591,1845,1216,1684,2071,1658,1494,1419,1653,1188,1452,2551,1609,1403
1432,1549,1569,2558,1739,2286,2268,1278,1401,1359,2082,2023,2215,1980
1485,1309,1467,3532,2152,2537,2159,1302,1353,1609,3248,1933,2963,1820
1332,1168,1443,3597,2172,2631,2023,1146,1251,2229,3061,1739,2688,1880
1127,1462,1362,3206,2197,2308,2161,979,1748,2037,3073,2255,2279,1950
963,1666,1345,3177,2464,2488,2435,835,1924,1839,2653,2102,2406,2134
826,1494,1185,2832,2676,2248,2158,724,1707,1703,2461,2460,2386,1878
714,1514,1361,2582,2779,2713,2447,632,1867,1834,2197,3107,2466,1986
871,1330,1225,2732,2631,2706,2173,890,1649,1806,2085,3471,2494,1819
871,1522,1130,2392,3097,2730,2319,828,1820,1572,2267,3283,2566,2068
777,1392,1111,2756,2756,2683,2194,730,1619,1596,2450,2799,2617,1989
697,1335,1449,2999,2336,2593,1933,654,1635,1392,2156,2624,2276,1921
593,1446,1325,2640,2112,2610,2193,556,1841,1368,3098,2521,2479,1823
609,1358,1547,2501,2133,2506,1951,682,1696,1331,2826,2385,2451,1816
536,1474,1389,2701,2429,2880,1802,689,1916,1627,2658,2539,2703,1593
733,1402,1394,2930,2826,2842,2038,781,1701,1455,3102,2348,2657,2115
696,1395,1378,3030,2744,2793,2197,712,1903,1287,2751,2178,2357,1792
628,1399,1537,2890,2731,2509,2275,623,1741,1827,2376,2417,2542,1978
629,1363,1813,2526,2365,2899,1989,634,1922,1675,2208,2344,2952,1750
569,1443,1702,2670,2278,2580,2064,574,1842,2043,1899,2356,2625,1907
641,1328,1470,2366,2686,3185,2432,666,1757,1841,1619,2101,2714,2210
590,1391,1739,2920,3216,3832,2521,608,1923,1573,1557,2966,3472,2112
759,1327,1568,2608,2871,3416,2450,762,1803,1745,1676,2698,3125,2273
710,1491,1471,2829,2428,3120,2117,697,1866,1545,2425,3004,2917,2508
635,1491,1282,2492,3558,3900,2777,686,1663,1325,2871,3876,3859,2358
679,1307,1385,3028,3403,4056,3344,679,1555,1815,3020,3625,4047,2225
639,3537,2303,2711,2923,3552,3009,655,3587,1956,2630,3084,3799,1922
